PID	%CPU	TimeStamp
4	66.7	1.329999
0	33.3	1.329999
1	33.3	1.329999
2	33.3	1.329999
5	33.3	1.329999
3	0.0	1.329999
1	50.0	1.339999
3	50.0	1.339999
5	50.0	1.339999
0	0.0	1.339999
2	0.0	1.339999
4	0.0	1.339999
0	33.3	1.349999
4	33.3	1.349999
1	0.0	1.349999
2	0.0	1.349999
3	0.0	1.349999
5	0.0	1.349999
0	50.0	1.359999
1	50.0	1.359999
2	50.0	1.359999
3	50.0	1.359999
4	50.0	1.359999
5	0.0	1.359999
0	50.0	1.369999
1	50.0	1.369999
2	50.0	1.369999
3	50.0	1.369999
4	50.0	1.369999
5	50.0	1.369999
0	33.3	1.379999
1	33.3	1.379999
2	33.3	1.379999
5	33.3	1.379999
3	0.0	1.379999
4	0.0	1.379999
3	50.0	1.389999
4	50.0	1.389999
0	0.0	1.389999
1	0.0	1.389999
2	0.0	1.389999
5	0.0	1.389999
0	33.3	1.399999
1	33.3	1.399999
2	33.3	1.399999
4	33.3	1.399999
5	33.3	1.399999
3	0.0	1.399999
0	50.0	1.409999
1	50.0	1.409999
3	50.0	1.409999
2	0.0	1.409999
4	0.0	1.409999
5	0.0	1.409999
1	33.3	1.419999
4	33.3	1.419999
5	33.3	1.419999
0	0.0	1.419999
2	0.0	1.419999
3	0.0	1.419999
0	100.0	1.429999
1	50.0	1.429999
2	50.0	1.429999
3	50.0	1.429999
4	50.0	1.429999
5	0.0	1.429999
3	33.3	1.439999
4	33.3	1.439999
5	33.3	1.439999
0	0.0	1.439999
1	0.0	1.439999
2	0.0	1.439999
0	33.3	1.449999
1	33.3	1.449999
2	33.3	1.449999
5	33.3	1.449999
3	0.0	1.449999
4	0.0	1.449999
0	50.0	1.459999
1	50.0	1.459999
3	50.0	1.459999
4	50.0	1.459999
5	50.0	1.459999
2	0.0	1.459999
4	66.7	1.469999
0	33.3	1.469999
1	33.3	1.469999
2	33.3	1.469999
3	33.3	1.469999
5	0.0	1.469999
1	50.0	1.479999
2	50.0	1.479999
5	50.0	1.479999
0	0.0	1.479999
3	0.0	1.479999
4	0.0	1.479999
0	50.0	1.489999
1	50.0	1.489999
3	50.0	1.489999
4	50.0	1.489999
2	0.0	1.489999
5	0.0	1.489999
0	33.3	1.499999
1	33.3	1.499999
2	33.3	1.499999
4	33.3	1.499999
5	33.3	1.499999
3	0.0	1.499999
0	50.0	1.509999
2	50.0	1.509999
3	50.0	1.509999
4	50.0	1.509999
5	50.0	1.509999
1	0.0	1.509999
0	33.3	1.519999
1	33.3	1.519999
3	33.3	1.519999
2	0.0	1.519999
4	0.0	1.519999
5	0.0	1.519999
1	33.3	1.529999
2	33.3	1.529999
4	33.3	1.529999
5	33.3	1.529999
0	0.0	1.529999
3	0.0	1.529999
0	50.0	1.539999
3	50.0	1.539999
4	50.0	1.539999
5	50.0	1.539999
1	0.0	1.539999
2	0.0	1.539999
0	50.0	1.549999
1	50.0	1.549999
2	50.0	1.549999
3	0.0	1.549999
4	0.0	1.549999
5	0.0	1.549999
4	66.7	1.559999
0	33.3	1.559999
1	33.3	1.559999
2	33.3	1.559999
3	33.3	1.559999
5	33.3	1.559999
0	50.0	1.569999
1	50.0	1.569999
3	50.0	1.569999
2	0.0	1.569999
4	0.0	1.569999
5	0.0	1.569999
1	33.3	1.579999
2	33.3	1.579999
4	33.3	1.579999
5	33.3	1.579999
0	0.0	1.579999
3	0.0	1.579999
0	50.0	1.589999
1	50.0	1.589999
2	50.0	1.589999
3	50.0	1.589999
4	50.0	1.589999
5	0.0	1.589999
3	50.0	1.599999
5	50.0	1.599999
0	0.0	1.599999
1	0.0	1.599999
2	0.0	1.599999
4	0.0	1.599999
0	66.7	1.609999
4	66.7	1.609999
1	33.3	1.609999
2	33.3	1.609999
3	33.3	1.609999
5	0.0	1.609999
0	50.0	1.619999
1	50.0	1.619999
5	50.0	1.619999
2	0.0	1.619999
3	0.0	1.619999
4	0.0	1.619999
2	66.7	1.629999
0	33.3	1.629999
1	33.3	1.629999
3	33.3	1.629999
4	33.3	1.629999
5	33.3	1.629999
1	50.0	1.639999
4	50.0	1.639999
0	0.0	1.639999
2	0.0	1.639999
3	0.0	1.639999
5	0.0	1.639999
0	33.3	1.649999
1	33.3	1.649999
2	33.3	1.649999
3	33.3	1.649999
5	33.3	1.649999
4	0.0	1.649999
0	50.0	1.659999
1	50.0	1.659999
2	50.0	1.659999
4	50.0	1.659999
5	50.0	1.659999
3	0.0	1.659999
0	33.3	1.669999
2	33.3	1.669999
3	33.3	1.669999
4	33.3	1.669999
1	0.0	1.669999
5	0.0	1.669999
0	25.0	1.679999
1	25.0	1.679999
3	25.0	1.679999
4	25.0	1.679999
5	25.0	1.679999
2	0.0	1.679999
0	50.0	1.689999
1	50.0	1.689999
2	50.0	1.689999
4	50.0	1.689999
5	50.0	1.689999
3	0.0	1.689999
0	50.0	1.699999
1	50.0	1.699999
3	50.0	1.699999
4	50.0	1.699999
2	0.0	1.699999
5	0.0	1.699999
0	50.0	1.709999
1	50.0	1.709999
3	50.0	1.709999
4	50.0	1.709999
5	50.0	1.709999
2	0.0	1.709999
0	33.3	1.719999
1	33.3	1.719999
2	33.3	1.719999
4	33.3	1.719999
3	0.0	1.719999
5	0.0	1.719999
2	50.0	1.729999
3	50.0	1.729999
4	50.0	1.729999
5	50.0	1.729999
0	0.0	1.729999
1	0.0	1.729999
0	33.3	1.739999
1	33.3	1.739999
3	33.3	1.739999
4	33.3	1.739999
2	0.0	1.739999
5	0.0	1.739999
0	50.0	1.749999
2	50.0	1.749999
4	50.0	1.749999
5	50.0	1.749999
1	0.0	1.749999
3	0.0	1.749999
